BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,TOTAL_INJURED,TOTAL_KILLED,PEDESTRIANS_INJURED,PEDESTRIANS_KILLED,CYCLIST_INJURED,CYCLIST_KILLED,MOTORIST_INJURED,MOTORIST_KILLED,CONTRIBUTING_FACTOR_VEHICLE1,VEHICLE_TYPE_CODE1,CRASH_DATETIME
MANHATTAN,10016.0,40.744434,-73.98477,1.0,0.0,0,0,0,0,1,0,Unspecified,Taxi,2018-09-29 11:30:00
MANHATTAN,10013.0,40.719902,-74.00261,1.0,0.0,0,0,0,0,1,0,Following Too Closely,Taxi,2018-09-27 07:07:00
MANHATTAN,10010.0,40.740982,-73.99001,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Taxi,2018-09-24 19:20:00
MANHATTAN,10065.0,40.767914,-73.966156,1.0,0.0,1,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-28 09:30:00
MANHATTAN,10026.0,40.80322,-73.95253,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-26 01:40:00
MANHATTAN,10017.0,40.755978,-73.97697,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-23 14:58:00
MANHATTAN,10018.0,40.75059,-73.98572,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-30 01:45:00
BROOKLYN,11217.0,40.682644,-73.97175,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Taxi,2018-09-21 12:00:00
BROOKLYN,11235,40.585133,-73.954544,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Taxi,2018-09-29 10:15:00
MANHATTAN,10011,40.73736,-73.99685,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-22 00:09:00
MANHATTAN,10030.0,40.817116,-73.94801,2.0,0.0,1,0,0,0,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Taxi,2018-09-21 15:10:00
BRONX,10452.0,40.84128,-73.91366,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-29 07:00:00
MANHATTAN,10013,40.72584,-74.00757,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-29 03:15:00
QUEENS,11106,40.765224,-73.9317,1.0,0.0,0,0,0,0,1,0,Following Too Closely,Ambulance,2018-09-22 15:10:00
MANHATTAN,10018,40.752316,-73.985954,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Taxi,2018-09-26 11:50:00
MANHATTAN,10016.0,40.741547,-73.97823,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Taxi,2018-09-29 20:15:00
MANHATTAN,10019,40.76229,-73.986115,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-28 23:15:00
BRONX,10472,40.8264,-73.87581,1.0,0.0,0,0,0,0,1,0,Unsafe Speed,Taxi,2018-09-26 20:00:00
MANHATTAN,10012,40.722298,-73.99713,0.0,0.0,0,0,0,0,0,0,Unspecified,Fire truck,2018-09-27 15:20:00
BROOKLYN,11235.0,40.57702,-73.9642,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-24 20:00:00
MANHATTAN,10019,40.762917,-73.98566,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-25 09:00:00
MANHATTAN,10024,40.785294,-73.969345,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Taxi,2018-09-28 11:17:00
BRONX,10458.0,40.868443,-73.88197,2.0,0.0,0,0,0,0,2,0,Unspecified,Taxi,2018-09-22 17:16:00
MANHATTAN,10075,40.77402,-73.95456,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-29 14:50:00
BROOKLYN,11213,40.677624,-73.93308,1.0,0.0,0,0,0,0,1,0,Unsafe Speed,Taxi,2018-09-23 05:20:00
MANHATTAN,10022,40.755505,-73.96807,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Taxi,2018-09-27 11:15:00
MANHATTAN,10013,40.72417,-74.004585,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-25 14:30:00
QUEENS,11428.0,40.720478,-73.73253,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-27 08:30:00
BROOKLYN,11249.0,40.72118,-73.95866,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-22 22:00:00
QUEENS,11103,40.76856,-73.906975,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Taxi,2018-09-26 12:00:00
MANHATTAN,10001.0,40.744762,-73.99517,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Taxi,2018-09-27 15:00:00
MANHATTAN,10011.0,40.740135,-73.9957,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Taxi,2018-09-28 21:02:00
MANHATTAN,10001.0,40.747234,-73.99337,0.0,0.0,0,0,0,0,0,0,Turning Improperly,Taxi,2018-09-23 01:30:00
MANHATTAN,10009.0,40.731205,-73.98216,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-29 09:15:00
MANHATTAN,10036.0,40.757935,-73.98557,0.0,0.0,0,0,0,0,0,0,Turning Improperly,Taxi,2018-09-24 15:40:00
MANHATTAN,10026.0,40.80123,-73.9577,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-29 15:13:00
QUEENS,11368.0,40.749767,-73.86381,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Taxi,2018-09-30 06:20:00
MANHATTAN,10128.0,40.784237,-73.947075,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Taxi,2018-09-29 19:30:00
BROOKLYN,11206.0,40.701622,-73.93804,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-30 00:00:00
BRONX,10468,40.85965,-73.90312,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-22 16:06:00
BROOKLYN,11205,40.696995,-73.95475,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Taxi,2018-09-25 06:25:00
QUEENS,11434.0,40.66684,-73.78941,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Taxi,2018-09-26 15:00:00
MANHATTAN,10003.0,40.736546,-73.98905,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Taxi,2018-09-26 01:00:00
QUEENS,11368.0,40.75562,-73.867004,2.0,0.0,0,0,0,0,2,0,Driver Inattention/Distraction,Taxi,2018-09-29 17:45:00
BROOKLYN,11242,40.700737,-73.99499,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-25 00:45:00
BRONX,10456.0,40.831383,-73.906845,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Ambulance,2018-09-28 07:20:00
MANHATTAN,10018.0,40.751114,-73.98503,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Taxi,2018-09-27 21:00:00
MANHATTAN,10010.0,40.734642,-73.97909,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Taxi,2018-09-28 17:15:00
QUEENS,11415,40.710434,-73.838066,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Taxi,2018-09-26 00:20:00
MANHATTAN,10025,40.80417,-73.966705,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Taxi,2018-09-30 17:22:00
MANHATTAN,10017.0,40.753845,-73.96802,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Taxi,2018-09-22 15:35:00
BRONX,10455.0,40.81676,-73.917465,1.0,0.0,1,0,0,0,0,0,View Obstructed/Limited,Ambulance,2018-09-25 07:15:00
BRONX,10461.0,40.847813,-73.8539,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Taxi,2018-09-23 08:27:00
MANHATTAN,10001,40.74592,-73.986404,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-25 21:35:00
QUEENS,11411.0,40.69696,-73.730064,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Taxi,2018-09-25 09:00:00
MANHATTAN,10016.0,40.74135,-73.981316,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Taxi,2018-09-27 14:50:00
BROOKLYN,11231,40.6742,-73.999985,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Taxi,2018-09-28 17:10:00
BROOKLYN,11236.0,40.636295,-73.902916,0.0,0.0,0,0,0,0,0,0,Brakes Defective,Taxi,2018-09-23 04:56:00
