BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,CONTRIBUTING_FACTOR_VEHICLE1,VEHICLE_TYPE_CODE1,CRASH_DATETIME,MONTH,HOUR,DAY_WEEK,DAY,CASUALTIES,icon
BRONX,10455.0,40.814934,-73.91496,Unspecified,Ambulance,2018-08-01 13:15:00,August,13,Wednesday,1,Injured or Killed,rain
MANHATTAN,10022.0,40.76155,-73.96659,Following Too Closely,Taxi,2018-08-02 19:14:00,August,19,Thursday,2,No Damage,rain
MANHATTAN,10012.0,40.722298,-73.99944,Following Too Closely,Taxi,2018-08-01 10:50:00,August,10,Wednesday,1,No Damage,rain
BROOKLYN,11212.0,40.6544,-73.92044,Failure to Yield Right-of-Way,Taxi,2018-07-31 00:00:00,July,0,Tuesday,31,No Damage,partly-cloudy
BRONX,10452.0,40.84533,-73.92818,Following Too Closely,Taxi,2018-08-02 22:01:00,August,22,Thursday,2,Injured or Killed,rain
MANHATTAN,10031.0,40.82523,-73.94761,Passenger Distraction,Taxi,2018-08-01 01:50:00,August,1,Wednesday,1,No Damage,rain
MANHATTAN,10001.0,40.752052,-74.000984,Unsafe Speed,Taxi,2018-07-31 12:15:00,July,12,Tuesday,31,No Damage,partly-cloudy
MANHATTAN,10011.0,40.74044,-73.9946,Passing Too Closely,Taxi,2018-07-31 10:15:00,July,10,Tuesday,31,No Damage,partly-cloudy
MANHATTAN,10032.0,40.835308,-73.94398,Unspecified,Ambulance,2018-07-30 12:35:00,July,12,Monday,30,No Damage,rain
MANHATTAN,10454.0,40.800983,-73.92927,Following Too Closely,Taxi,2018-08-01 11:20:00,August,11,Wednesday,1,No Damage,rain
MANHATTAN,10030.0,40.815304,-73.94371,Passing Too Closely,Taxi,2018-07-30 12:15:00,July,12,Monday,30,No Damage,rain
BROOKLYN,11221.0,40.689884,-73.9188,Driver Inattention/Distraction,Taxi,2018-07-31 08:40:00,July,8,Tuesday,31,No Damage,partly-cloudy
MANHATTAN,10022.0,40.760254,-73.967545,Failure to Yield Right-of-Way,Taxi,2018-07-31 17:45:00,July,17,Tuesday,31,No Damage,partly-cloudy
MANHATTAN,10017.0,40.751793,-73.97688,Driver Inattention/Distraction,Taxi,2018-07-31 14:00:00,July,14,Tuesday,31,Injured or Killed,partly-cloudy
MANHATTAN,10012.0,40.728065,-73.99896,Failure to Yield Right-of-Way,Taxi,2018-08-01 13:00:00,August,13,Wednesday,1,No Damage,rain
BROOKLYN,11226.0,40.651367,-73.95592,Driver Inexperience,Taxi,2018-07-31 01:53:00,July,1,Tuesday,31,Injured or Killed,partly-cloudy
STATEN ISLAND,10309.0,40.53062,-74.19455,Driver Inattention/Distraction,Taxi,2018-08-01 15:30:00,August,15,Wednesday,1,No Damage,rain
BROOKLYN,11216.0,40.675354,-73.952774,Unspecified,Taxi,2018-08-02 21:50:00,August,21,Thursday,2,Injured or Killed,rain
BROOKLYN,11236.0,40.67308,-73.91124,Turning Improperly,Taxi,2018-08-02 09:15:00,August,9,Thursday,2,No Damage,rain
MANHATTAN,10016.0,40.74954,-73.97744,Oversized Vehicle,Taxi,2018-08-01 16:00:00,August,16,Wednesday,1,No Damage,rain
MANHATTAN,10001.0,40.74715,-73.985504,Unsafe Lane Changing,Taxi,2018-08-01 08:50:00,August,8,Wednesday,1,No Damage,rain
MANHATTAN,10012.0,40.72494,-73.99832,Passenger Distraction,Taxi,2018-08-02 01:50:00,August,1,Thursday,2,No Damage,rain
MANHATTAN,10016.0,40.751522,-73.98023,Driver Inattention/Distraction,Taxi,2018-07-31 10:55:00,July,10,Tuesday,31,No Damage,partly-cloudy
BRONX,10451.0,40.825573,-73.918465,Following Too Closely,Taxi,2018-08-01 20:39:00,August,20,Wednesday,1,No Damage,rain
